id						    1		2		3       4
speed						25		25		25      25
course					    90		90		90      90
surface_tracking_limit		3		3		3       3
surface_engagement_limit	20		10		10      10
air_tracking_limit			16		16		16      16
air_engagement_limit		10		16		16      16
evading_course				20		20		20      20
type_m_sam					3		3		3       3
num_m_sam					16		12		20      12
type_l_sam					1		1		1       1
num_l_sam					24		4		20      4
type_ssm					1		1		1       1
num_ssm					    12		8		8       8
decoy_launching_bearing		8		8		8       8
decoy_launching_distance	1		1		1       1
decoy_launching_interval	20		20		20      20
decoy_rcs					5 	    5	    5       5
decoy_duration				10		10		10      10
decoy_decaying_rate			0.9		0.9		0.9     0.9
length						100		100		100     100
breadth					    25		25		25      25
height						20		20		20      20
detection_range				40		40		40      40
radar_peak_power			6000000	6000000	6000000 6000000
antenna_gain_factor			9300	9300	9300    9300
wavelength_of_signal		7.5		7.5		7.5     7.5
radar_receiver_bandwidth	4		4		4       4
ciws_max_range				4		4		4       4
ciws_max_num_per_min		4200	4200	4200    4200
ciws_bullet_capacity		1100	1100	1100    1100
ssm_launching_duration_min	10		10		10      10
ssm_launching_duration_max	15		15		15      15
lsam_launching_duration_min	7		7		7       7
lsam_launching_duration_max	10		10		10      10
msam_launching_duration_min	3		5		5       5
msam_launching_duration_max	6		10		10      10
side						blue	yellow	yellow  yellow
